school,start_year,last_year,years,games,wins,losses,ties,win_percentage,bowl_games,bowl_wins,bowl_losses,bowl_ties,bowl_percentage,srs,sos,ap,conference_championships,notes
Duke,1922,2015,94,987,468,491,28,0.488,11.0,3.0,8.0,0.0,0.273,2.87,2.77,17,17,
Duquesne,1933,1950,14,132,80,49,3,0.617,1.0,1.0,0.0,0.0,1.0,1.04,-2.38,3,0,
East Carolina,1965,2015,51,578,310,265,3,0.539,16.0,7.0,9.0,0.0,0.43799999999999994,-2.01,-2.87,2,6,W-L-T adjusted to 311-264-3 by NCAA.
East Tennessee State,1979,1981,3,33,15,18,0,0.455,0.0,0.0,0.0,0.0,,-9.46,-8.43,0,0,
Eastern Michigan,1975,2015,41,455,134,314,7,0.302,1.0,1.0,0.0,0.0,1.0,-15.84,-7.9,0,1,
Erskine,1919,1936,5,39,12,27,0,0.308,0.0,0.0,0.0,0.0,,-13.04,-5.98,0,0,
Florida,1904,2015,104,1104,670,397,37,0.624,41.0,21.0,20.0,0.0,0.512,8.62,4.19,29,9,
Florida A&M,2004,2004,1,11,3,8,0,0.273,0.0,0.0,0.0,0.0,,-21.65,-12.38,0,0,
Florida Atlantic,2004,2015,12,139,54,85,0,0.38799999999999996,2.0,2.0,0.0,0.0,1.0,-10.49,-4.84,0,1,
Florida International,2004,2015,12,138,43,95,0,0.312,2.0,1.0,1.0,0.0,0.5,-12.16,-6.31,0,1,
Florida State,1954,2015,62,726,493,217,16,0.69,42.0,25.0,15.0,2.0,0.619,11.57,3.94,31,15,W-L-T adjusted to 482-216-16 by NCAA.
Fordham,1909,1954,25,213,126,70,17,0.631,2.0,1.0,1.0,0.0,0.5,3.6,-1.08,6,0,
Fort Benning,1922,1922,1,10,5,5,0,0.5,0.0,0.0,0.0,0.0,,-6.13,-4.03,0,0,
Fort Riley,1943,1943,1,9,6,2,1,0.722,0.0,0.0,0.0,0.0,,10.37,1.81,0,0,
Fort Warren,1944,1944,1,10,5,4,1,0.55,0.0,0.0,0.0,0.0,,-4.13,-3.83,0,0,
Franklin & Marshall,1889,1904,7,62,24,31,7,0.444,0.0,0.0,0.0,0.0,,-6.68,-3.65,0,0,
Fresno State,1969,2015,47,560,326,230,4,0.586,21.0,9.0,12.0,0.0,0.429,-1.91,-5.43,2,11,W-L-T adjusted to 327-229-4 by NCAA.
Furman,1902,1981,61,605,297,280,28,0.514,0.0,0.0,0.0,0.0,,-6.16,-6.16,0,3,
George Washington,1908,1966,33,299,138,147,14,0.485,1.0,1.0,0.0,0.0,1.0,-4.59,-4.24,1,0,
Georgetown,1902,1950,36,313,184,110,19,0.618,2.0,0.0,2.0,0.0,0.0,2.76,-2.44,1,0,
Georgia,1902,2015,112,1195,756,389,50,0.654,50.0,28.0,19.0,3.0,0.59,9.94,4.69,35,12,
Georgia Pre-Flight,1942,1943,2,15,12,2,1,0.833,0.0,0.0,0.0,0.0,,11.14,2.27,0,0,
Georgia Southern,2014,2015,2,18,14,4,0,0.778,0.0,0.0,0.0,0.0,,5.06,-7.64,0,1,
Georgia State,2013,2015,3,30,3,27,0,0.1,0.0,0.0,0.0,0.0,,-18.57,-5.68,0,0,
Georgia Tech,1902,2015,114,1208,707,461,40,0.602,43.0,24.0,19.0,0.0,0.5579999999999999,8.83,4.59,25,8,W-L-T adjusted to 706-461-40 by NCAA.
Gonzaga,1922,1941,16,141,67,63,11,0.514,1.0,0.0,1.0,0.0,0.0,-2.55,-4.15,0,0,
Grambling State,1977,1977,1,11,10,1,0,0.909,0.0,0.0,0.0,0.0,,6.73,-10.0,0,1,
Great Lakes Navy,1918,1945,5,55,39,11,5,0.755,1.0,1.0,0.0,0.0,1.0,16.37,6.95,2,0,
Grinnell,1899,1936,26,218,90,110,18,0.45399999999999996,0.0,0.0,0.0,0.0,,-6.97,-4.74,0,0,
