timestamp,home,pts_home,away,pts_away,tv,notes
2013-09-28 19:00:00,Wyoming,21.0,Texas State,42.0,,
2013-09-28 19:00:00,Tulane,31.0,Louisiana-Monroe,14.0,,
2013-09-28 19:30:00,Alabama-Birmingham,24.0,Vanderbilt,52.0,,
2013-09-28 19:00:00,Arizona,13.0,Washington,31.0,,
2013-09-28 12:00:00,Oklahoma State,21.0,West Virginia,30.0,,
2013-09-28 14:00:00,Navy,7.0,Western Kentucky,19.0,,
2013-10-03 19:30:00,Texas,31.0,Iowa State,30.0,,
2013-10-03 22:00:00,UCLA,34.0,Utah,27.0,,
2013-10-03 19:30:00,Western Kentucky,31.0,Louisiana-Monroe,10.0,,
2013-10-04 20:00:00,Brigham Young,31.0,Utah State,14.0,,
2013-10-04 21:00:00,Nevada,44.0,San Diego State,51.0,,
2013-10-05 12:21:00,Georgia State,3.0,Alabama,45.0,,
2013-10-05 19:00:00,Mississippi,22.0,Auburn,30.0,,
2013-10-05 12:00:00,Ball State,48.0,Virginia,27.0,,
2013-10-05 20:00:00,West Virginia,42.0,Baylor,73.0,,
2013-10-05 13:00:00,Army,27.0,Boston College,48.0,,
2013-10-05 15:30:00,Massachusetts,7.0,Bowling Green State,28.0,,
2013-10-05 12:00:00,Eastern Michigan,14.0,Buffalo,42.0,,
2013-10-05 16:30:00,Central Florida,24.0,Memphis,17.0,,
2013-10-05 13:00:00,Central Michigan,21.0,Miami (OH),9.0,,
2013-10-05 15:30:00,Clemson,49.0,Syracuse,14.0,,
2013-10-05 15:30:00,East Carolina,24.0,Middle Tennessee State,17.0,,
2013-10-05 19:00:00,Arkansas,10.0,Florida,30.0,,
2013-10-05 15:00:00,Florida Atlantic,37.0,Alabama-Birmingham,23.0,,
2013-10-05 16:00:00,Florida International,24.0,Southern Mississippi,23.0,,
2013-10-05 12:00:00,Maryland,0.0,Florida State,63.0,,
2013-10-05 17:00:00,Fresno State,61.0,Idaho,14.0,,
2013-10-05 15:30:00,Georgia,34.0,Tennessee,31.0,,
2013-10-05 12:00:00,Penn State,24.0,Indiana,44.0,,
2013-10-05 19:00:00,Louisiana State,59.0,Mississippi State,26.0,,
2013-10-05 19:30:00,Louisiana Tech,38.0,Texas-El Paso,35.0,,
2013-10-05 19:00:00,Texas State,24.0,Louisiana-Lafayette,48.0,,
2013-10-05 12:00:00,Louisville,30.0,Temple,7.0,,
2013-10-05 14:00:00,Texas-San Antonio,10.0,Marshall,34.0,,
2013-10-05 15:30:00,Georgia Tech,30.0,Miami (FL),45.0,,
2013-10-05 15:30:00,Minnesota,13.0,Michigan,42.0,,
2013-10-05 12:00:00,Michigan State,26.0,Iowa,14.0,,
2013-10-05 19:30:00,Missouri,51.0,Vanderbilt,28.0,,
2013-10-05 11:30:00,Air Force,10.0,Navy,28.0,,
2013-10-05 12:00:00,Illinois,19.0,Nebraska,39.0,,
2013-10-05 19:00:00,New Mexico State,17.0,New Mexico,66.0,,
2013-10-05 15:30:00,Northern Illinois,38.0,Kent State,24.0,,
2013-10-05 19:30:00,Arizona State,34.0,Notre Dame,37.0,,"AT&T Stadium - Arlington, TX"
2013-10-05 14:00:00,Ohio,43.0,Akron,3.0,,
2013-10-05 20:00:00,Ohio State,40.0,Northwestern,30.0,,
2013-10-05 19:00:00,Texas Christian,17.0,Oklahoma,20.0,,
2013-10-05 15:30:00,Kansas State,29.0,Oklahoma State,33.0,,
2013-10-05 18:00:00,Oregon,57.0,Colorado,16.0,,
2013-10-05 15:30:00,Rice,30.0,Tulsa,27.0,,
2013-10-05 12:00:00,Rutgers,55.0,Southern Methodist,52.0,,
2013-10-05 23:59:00,San Jose State,37.0,Hawaii,27.0,,
2013-10-05 19:30:00,Kentucky,28.0,South Carolina,35.0,,
2013-10-05 19:00:00,Cincinnati,20.0,South Florida,26.0,,
2013-10-05 22:30:00,Washington,28.0,Stanford,31.0,,
2013-10-05 12:00:00,Texas Tech,54.0,Kansas,16.0,,
2013-10-05 15:00:00,Western Michigan,20.0,Toledo,47.0,,
